Sample	Type	Genomic Location (hg19)	P-value (ChIPseeqer)	Score (ChIPseeqer)	Peak Width	RefSeq ID	Entrez ID	Gene Symbol	Relative To Gene (prom=-2.0/+1.0kb)	TSS Distance	Closest RefSeq ID	Closest Entrez ID	Closest Gene Symbol	Relative To Closest Gene (prom=-2.0/+1.0kb)	TSS Closest Distance	Closest End RefSeq ID	Closest End Entrez ID	Closest End Gene Symbol	Relative To Closest Gene End (prom=-2.0/+1.0kb)	End Closest Distance	#1 Closest RefSeq ID	#1 Closest Entrez ID	#1 Closest Gene Symbol	#1 TSS Closest Distance	#2 Closest RefSeq ID	#2 Closest Entrez ID	#2 Closest Gene Symbol	#2 TSS Closest Distance	#3 Closest RefSeq ID	#3 Closest Entrez ID	#3 Closest Gene Symbol	#3 TSS Closest Distance	#4 Closest RefSeq ID	#4 Closest Entrez ID	#4 Closest Gene Symbol	#4 TSS Closest Distance	#5 Closest RefSeq ID	#5 Closest Entrez ID	#5 Closest Gene Symbol	#5 TSS Closest Distance	miR Symbol	Relative To miR	miR Start Closest Distance	miR Start Distance	Centromere/Telomere	Simple Tandem Repeats	ENCODE blacklist	Giulia blacklist	TAD domains	Genes in same TAD domain	Gene in TAD	Closest gene in TAD	Overlaps TSS	Peaks per gene	Genomic Location	ENCODE blacklist GRCh38	Peaks Per Gene	Peak Relative To Gene (prom=-2/+1kb)	Peak TSS Distance	Peak Relative To Closest Gene (prom=-2/+1kb)	Peak TSS Closest Distance	Peak Relative To Closest Gene End (prom=-2/+1kb)	Peak End Closest Distance	Peak Relative To miR	Peak miR Start Closest Distance	Peak miR Start Distance
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187453042-187454374	-32.3444	28.8103	1333	NM_001130845	604	BCL6	promoter,intronic	577	NM_001134738	604	BCL6	promoter	-1013.0	NR_036497	339929	LPP-AS2	intergenic	418168.0	NM_001134738	604.0	BCL6	-1013.0	NM_001004312	344892.0	RTP2	-33363.0	NR_034062	100131635.0	LOC100131635	33554.0	NM_001048	6750.0	SST	-65507.0	NM_022147	64108.0	RTP4	367540.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	5.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187454536-187455012	-41.1572	35.5356	477	NM_001130845	604	BCL6	promoter	-489	NM_001706	604	BCL6	intronic	8739.0	NR_036497	339929	LPP-AS2	intergenic	417102.0	NM_001706	604.0	BCL6	8739.0	NM_001004312	344892.0	RTP2	-34429.0	NR_034062	100131635.0	LOC100131635	34620.0	NM_001048	6750.0	SST	-66573.0	NM_022147	64108.0	RTP4	368606.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187455197-187455462	-40.7863	34.908	266	NM_001130845	604	BCL6	promoter	-1044	NM_001706	604	BCL6	intronic	8184.0	NR_036497	339929	LPP-AS2	intergenic	416547.0	NM_001706	604.0	BCL6	8184.0	NM_001004312	344892.0	RTP2	-34984.0	NR_034062	100131635.0	LOC100131635	35175.0	NM_001048	6750.0	SST	-67128.0	NM_022147	64108.0	RTP4	369161.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187455599-187464160	-121.9181	83.1204	8562	NM_001706	604	BCL6	intronic	3634	NM_001706	604	BCL6	intronic	3634.0	NR_036497	339929	LPP-AS2	intergenic	411997.0	NM_001706	604.0	BCL6	3634.0	NM_001004312	344892.0	RTP2	-39534.0	NR_034062	100131635.0	LOC100131635	39725.0	NM_001048	6750.0	SST	-71678.0	NM_022147	64108.0	RTP4	373711.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	5.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187464435-187464594	-24.6672	22.8898	160	NM_001706	604	BCL6	promoter	-1001	NM_001706	604	BCL6	promoter	-1001.0	NR_036497	339929	LPP-AS2	intergenic	407362.0	NM_001706	604.0	BCL6	-1001.0	NM_001004312	344892.0	RTP2	-44169.0	NR_034062	100131635.0	LOC100131635	44360.0	NM_001048	6750.0	SST	-76313.0	NM_022147	64108.0	RTP4	378346.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0		5.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187464730-187468316	-77.5597	58.3865	3587						NM_001706	604	BCL6	intergenic	-3010.0	NR_036497	339929	LPP-AS2	intergenic	405353.0	NM_001706	604.0	BCL6	-3010.0	NM_001004312	344892.0	RTP2	-46178.0	NR_034062	100131635.0	LOC100131635	46369.0	NM_001048	6750.0	SST	-78322.0	NM_022147	64108.0	RTP4	380355.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
FARAGE-H3K27ACDiag_Lib-7_LE059	Diag	chr3:187468487-187468764	-28.8742	27.2692	278						NM_001706	604	BCL6	intergenic	-5112.0	NR_036497	339929	LPP-AS2	intergenic	403251.0	NM_001706	604.0	BCL6	-5112.0	NM_001004312	344892.0	RTP2	-48280.0	NR_034062	100131635.0	LOC100131635	48471.0	NM_001048	6750.0	SST	-80424.0	NM_022147	64108.0	RTP4	382457.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
SUDHL6_H3K27ACAM_EP005	ACAM	chr3:187452239-187455053	-46.3087	37.5529	2815	NM_001130845	604	BCL6	promoter,intronic	639	NM_001134738	604	BCL6	promoter	-951.0	NR_036497	339929	LPP-AS2	intergenic	418230.0	NM_001134738	604.0	BCL6	-951.0	NM_001004312	344892.0	RTP2	-33301.0	NR_034062	100131635.0	LOC100131635	33492.0	NM_001048	6750.0	SST	-65445.0	NM_022147	64108.0	RTP4	367478.0									chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	2.0												
SUDHL6_H3K27ACAM_EP005	ACAM	chr3:187455175-187464264	-154.6567	98.7266	9090	NM_001706	604	BCL6	intronic	3794	NM_001706	604	BCL6	intronic	3794.0	NR_036497	339929	LPP-AS2	intergenic	412157.0	NM_001706	604.0	BCL6	3794.0	NM_001004312	344892.0	RTP2	-39374.0	NR_034062	100131635.0	LOC100131635	39565.0	NM_001048	6750.0	SST	-71518.0	NM_022147	64108.0	RTP4	373551.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	1.0	1.0	BCL6	2.0												
SUDHL6_H3K27ACAM_EP005	ACAM	chr3:187464418-187468874	-154.4727	100.5838	4457						NM_001706	604	BCL6	intergenic	-3133.0	NR_036497	339929	LPP-AS2	intergenic	405230.0	NM_001706	604.0	BCL6	-3133.0	NM_001004312	344892.0	RTP2	-46301.0	NR_034062	100131635.0	LOC100131635	46492.0	NM_001048	6750.0	SST	-78445.0	NM_022147	64108.0	RTP4	380478.0						tandem_repeat			chr3:187400001-188640000	AC063932.1;BCL6;BCL6-AS1;FLJ42393;LINC01991;LPP;LPP-AS1;LPP-AS2;MIR28;RP11-132N15.1;RP11-132N15.2;RP11-211G3.3;RP11-30O15.1;RP11-430L16.1;RP11-44H4.1;RTP2	0.0	1.0		0.0												
